longitude,latitude,Cena,Izby,Druh,Plocha,distance_from_centre
17.9974665,47.9170119,98000,3,3 izbový byt,69,70.5
18.0851271,48.2975129,179000,2,2 izbový byt,59,74
18.7204192,47.7987129,125000,2,2 izbový byt,58,125.6
18.3070801,48.246014,162740,4,4 izbový byt,87,89.2
18.0834911,48.3073149,165000,3,3 izbový byt,79,74.1
18.0365733,48.3137055,224040,4,4 izbový byt,107,70.9
18.037233,48.31299246,164160,3,3 izbový byt,76,70.9
18.0850349,48.3066519,178000,2,2 izbový byt,65,74.2
18.0365733,48.3137055,245040,4,4 izbový byt,107,70.9
18.1640649,47.9860672,98000,3,3 izbový byt,61,80
18.164236,47.9801333,112000,2,2 izbový byt,68,80.2
18.5200484,48.1959937,83000,3,3 izbový byt,76,104.4
18.3976342,48.3832287,123500,4,4 izbový byt,82,98.7
18.3070801,48.246014,76600,2,2 izbový byt,46,89.2
18.3027965,48.2441899,79500,1,1 izbový byt,37,88.8
18.086038,48.3128725,130000,2,2 izbový byt,57,74.4
18.9530669,48.0778576,67900,3,3 izbový byt,78,136.7
18.1284782,47.7624889,74900,2,2 izbový byt,51,86.7
18.1284782,47.7624889,77000,3,3 izbový byt,62,86.7
18.0516667,47.8513889,75000,2,2 izbový byt,45,77.1
18.0516667,47.8513889,88000,3,3 izbový byt,70,77.1
18.0516667,47.8513889,57000,2,2 izbový byt,58,77.1
18.1640649,47.9860672,132000,3,3 izbový byt,76,80
18.6051464,48.2039771,93000,3,3 izbový byt,77,110.8
18.1640649,47.9860672,123000,3,3 izbový byt,84,80
18.6461403,47.7777968,99990,4,4 izbový byt,98,121.2
17.884183,48.148724,132990,3,3 izbový byt,63,57.2
18.086038,48.3128725,132000,2,2 izbový byt,62,74.4
18.1640649,47.9860672,104990,3,3 izbový byt,66,80
18.1640649,47.9860672,142900,3,3 izbový byt,78,80
18.086038,48.3128725,159000,3,3 izbový byt,57,74.4
18.1640649,47.9860672,99900,3,3 izbový byt,76,80
18.1640649,47.9860672,124000,3,3 izbový byt,64,80
18.1640649,47.9860672,125000,3,3 izbový byt,82,80
18.086038,48.3128725,141990,4,4 izbový byt,86,74.4
